Order_ID,Order_Date,Customer_ID,Product_ID,Sales_Rep_ID,Quantity,Discount_Pct,Unit_Selling_Price
10021,2024-04-14,C0323,P009,SR03,3,0.0,145.0
10042,2024-04-08,C0039,P015,SR07,2,0.1,12.6
10076,2024-04-26,C0228,P002,SR02,2,0.1,58.5
10106,2024-04-07,C0102,P014,SR04,2,0.1,9.0
10113,2024-04-26,C0221,P012,SR05,1,0.1,28.8
10116,2024-04-26,C0124,P015,SR09,2,0.1,12.6
10120,2024-04-15,C0158,P018,SR02,1,0.15,306.0
10135,2024-04-11,C0042,P007,SR04,1,0.0,30.0
10143,2024-04-15,C0158,P016,SR01,1,0.1,148.5
10145,2024-04-13,C0118,P005,SR04,3,0.1,49.5
10149,2024-04-23,C0237,P002,SR09,1,0.05,61.75
10191,2024-04-28,C0190,P018,SR10,2,0.1,324.0
10206,2024-04-20,C0136,P010,SR10,1,0.15,191.25
10214,2024-04-20,C0132,P020,SR10,3,0.15,46.75
10223,2024-04-22,C0183,P001,SR02,1,0.05,14.25
10224,2024-04-22,C0251,P015,SR09,3,0.2,11.2
10229,2024-04-16,C0113,P013,SR06,1,0.15,38.25
10250,2024-04-07,C0065,P010,SR05,1,0.05,213.75
10283,2024-04-26,C0302,P020,SR04,2,0.0,55.0
10309,2024-04-02,C0109,P017,SR03,1,0.2,228.0
10319,2024-04-18,C0268,P016,SR01,2,0.1,148.5
10320,2024-04-12,C0250,P005,SR08,2,0.1,49.5
10329,2024-04-26,C0002,P006,SR03,1,0.0,50.0
10337,2024-04-27,C0100,P001,SR08,1,0.0,15.0
10342,2024-04-22,C0325,P003,SR04,1,0.1,31.5
10350,2024-04-18,C0051,P017,SR05,1,0.1,256.5
10352,2024-04-01,C0280,P003,SR02,1,0.0,35.0
10403,2024-04-09,C0109,P013,SR02,1,0.0,45.0
10410,2024-04-20,C0102,P017,SR06,1,0.05,270.75
10440,2024-04-03,C0321,P011,SR07,2,0.05,104.5
10448,2024-04-26,C0094,P003,SR03,3,0.05,33.25
10450,2024-04-25,C0349,P020,SR05,1,0.1,49.5
10452,2024-04-25,C0343,P010,SR09,1,0.15,191.25
10455,2024-04-08,C0076,P019,SR03,1,0.15,106.25
10458,2024-04-25,C0109,P008,SR09,1,0.1,76.5
10459,2024-04-21,C0103,P014,SR09,1,0.0,10.0
