Order_ID,Order_Date,Customer_ID,Product_ID,Sales_Rep_ID,Quantity,Discount_Pct,Unit_Selling_Price
10005,2024-08-14,C0039,P014,SR04,1,0.15,8.5
10007,2024-08-23,C0239,P010,SR09,1,0.05,213.75
10023,2024-08-13,C0124,P015,SR06,1,0.1,12.6
10035,2024-08-10,C0188,P013,SR03,1,0.1,40.5
10053,2024-08-23,C0340,P004,SR09,1,0.05,42.75
10070,2024-08-08,C0119,P019,SR02,1,0.1,112.5
10079,2024-08-12,C0282,P008,SR04,3,0.05,80.75
10110,2024-08-11,C0291,P012,SR06,1,0.0,32.0
10123,2024-08-28,C0298,P004,SR04,1,0.0,45.0
10130,2024-08-13,C0161,P017,SR06,1,0.05,270.75
10134,2024-08-28,C0280,P014,SR03,1,0.0,10.0
10140,2024-08-02,C0172,P002,SR06,1,0.2,52.0
10147,2024-08-18,C0288,P001,SR05,2,0.05,14.25
10153,2024-08-26,C0049,P010,SR06,2,0.1,202.5
10171,2024-08-06,C0246,P006,SR05,2,0.1,45.0
10180,2024-08-19,C0277,P011,SR07,2,0.1,99.0
10181,2024-08-01,C0200,P017,SR01,1,0.0,285.0
10189,2024-08-07,C0337,P008,SR08,1,0.05,80.75
10208,2024-08-11,C0320,P010,SR02,1,0.1,202.5
10215,2024-08-14,C0154,P005,SR06,1,0.05,52.25
10226,2024-08-27,C0047,P015,SR06,4,0.15,11.9
10237,2024-08-07,C0163,P014,SR08,4,0.05,9.5
10265,2024-08-07,C0129,P008,SR05,2,0.0,85.0
10270,2024-08-10,C0059,P005,SR09,1,0.05,52.25
10300,2024-08-03,C0065,P008,SR07,1,0.05,80.75
10307,2024-08-01,C0153,P018,SR01,1,0.1,324.0
10324,2024-08-26,C0084,P017,SR01,1,0.1,256.5
10325,2024-08-30,C0143,P009,SR07,1,0.05,137.75
10331,2024-08-22,C0321,P013,SR10,3,0.15,38.25
10361,2024-08-03,C0203,P019,SR02,2,0.0,125.0
10362,2024-08-06,C0082,P019,SR04,2,0.1,112.5
10378,2024-08-21,C0144,P006,SR02,1,0.1,45.0
10380,2024-08-02,C0120,P007,SR05,2,0.05,28.5
10381,2024-08-20,C0158,P013,SR05,1,0.0,45.0
10394,2024-08-05,C0316,P010,SR07,1,0.05,213.75
10395,2024-08-22,C0013,P005,SR01,1,0.0,55.0
10400,2024-08-14,C0236,P009,SR07,2,0.1,130.5
10412,2024-08-17,C0321,P020,SR07,2,0.1,49.5
10415,2024-08-11,C0153,P001,SR07,1,0.1,13.5
10416,2024-08-31,C0313,P012,SR05,2,0.1,28.8
10429,2024-08-13,C0015,P014,SR05,1,0.05,9.5
10431,2024-08-10,C0222,P003,SR06,1,0.0,35.0
10432,2024-08-22,C0108,P001,SR01,4,0.0,15.0
10454,2024-08-08,C0068,P005,SR08,1,0.0,55.0
10483,2024-08-03,C0315,P019,SR06,1,0.0,125.0
10500,2024-08-06,C0177,P012,SR07,1,0.1,28.8
10512,2024-08-24,C0046,P010,SR06,4,0.1,202.5
10514,2024-08-31,C0341,P015,SR04,1,0.0,14.0
10541,2024-08-01,C0285,P015,SR05,1,0.05,13.3
10551,2024-08-26,C0205,P016,SR01,1,0.1,148.5
10561,2024-08-26,C0185,P008,SR04,2,0.1,76.5
10570,2024-08-07,C0215,P003,SR05,2,0.05,33.25
10583,2024-08-04,C0056,P014,SR08,1,0.15,8.5
10604,2024-08-17,C0322,P004,SR06,1,0.05,42.75
10614,2024-08-03,C0052,P015,SR05,1,0.0,14.0
10627,2024-08-06,C0082,P013,SR09,1,0.05,42.75
10634,2024-08-13,C0208,P006,SR08,1,0.1,45.0
10656,2024-08-20,C0227,P019,SR08,1,0.05,118.75
10660,2024-08-01,C0218,P017,SR04,4,0.1,256.5
10676,2024-08-14,C0214,P008,SR07,2,0.2,68.0
10682,2024-08-07,C0094,P009,SR07,4,0.0,145.0
10698,2024-08-26,C0324,P008,SR04,1,0.05,80.75
10703,2024-08-17,C0146,P018,SR05,2,0.05,342.0
10707,2024-08-16,C0202,P020,SR06,1,0.05,52.25
10723,2024-08-26,C0304,P010,SR04,4,0.1,202.5
10732,2024-08-11,C0272,P018,SR05,2,0.0,360.0
10753,2024-08-24,C0022,P020,SR02,1,0.1,49.5
10784,2024-08-27,C0039,P019,SR07,1,0.2,100.0
10793,2024-08-02,C0279,P018,SR09,1,0.05,342.0
10798,2024-08-31,C0320,P010,SR07,2,0.05,213.75
